,,,,,,,,,,
,,Analog Monaco,,SAS4 radial,,SAS4 axial,,MAVRIC,,
,detector,6678 min,,361 min,,361 min,,520 min,,
,1,2.66E-02,±  27%,4.54E-02,±  1.2%,7.07E-04,±  54%,5.02E-02,±  0.2%,
,2,3.05E-01,±  7.9%,6.74E-02,±  33%,2.45E-01,±  6.3%,3.03E-01,±  1.8%,
,3,2.97E+00,±  2.0%,5.63E-01,±  38%,2.07E+00,±  22.9%,2.89E+00,±  1.0%,
,4,2.65E-02,±  13.4%,2.76E-02,±  0.4%,2.48E-03,±  46%,3.18E-02,±  0.2%,
,5,3.26E+00,±  1.3%,1.85E+00,±  17%,2.70E+00,±  6.6%,3.07E+00,±  1.6%,
,6,3.30E-01,±  2.4%,1.46E-01,±  14.9%,2.73E-01,±  8.4%,3.14E-01,±  1.4%,
,,,,,,,,,,
,,,,,,,,,,
