,,,,,,,,,
block,,,keyword,type,length,default,,required,restrictions/comments
read parameters,,,,,,,,,
,All of the keywords listed in the Monaco manual still apply,,,,,,,,
,,,,,,,,,
,Final Monaco Monte Carlo calculation is multi-group,,,,,,,,
,library=,,,character,,not present,,no,"MG library for final Monaco run, if different than MAVRIC"
,parmString=,,,character,,not present,,no,parm for MG cross section processing using CSAS-MG
,,,,,,,,,
,Final Monaco Monte Carlo calculation is continuous energy,,,,,,,,
,ceLibrary=,,,character,,not present,,no,continuous energy library name
end parameters,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
