,,,,,,,,,
,,,,,,,,,
block,,,keyword,type,length,default,,required,restrictions/comments
importanceMap,,,,,,,,,
,Perform an adjoint SN calculation using one (or more) adjoint source(s) and a gridGeometry,,,,,,,,
,gridGeometryID=,,,integer,,,,yes,matches one of the id numbers from gridGeometries
,,,,,,,,,
,adjointSource id,,,integer,,,,yes,"non-negative integer, unique among adjointSources"
,,locationID=,,integer,,,,a*,matches one of the id numbers from locations
,,boundingBox,,real,6,,,b*,parameters: xmax  xmin   ymax  ymin   zmax  zmin
,,,,,,,,,*required: either a) locationID= or b) boundingBox
,,responseID=,,integer,,,,c*,single id number from responses
,,responseIDs,,integer,any,none,,d*,list of id numbers from responses
,,,,,,,,,*required: either c) responseID= or d) responseIDs
,,weight=,,real,,1.0,,no,positive real number
,,unit=,,integer,,-1,,no,limit adjoint source in boundingBox to a unit
,,region=,,integer,,-1,,no,limit adjoint source in boundingBox to a region of a unit
,,mixture=,,integer,,-1,,no,limit adjoint source in boundingBox to a mixture
,end adjointSource,,,,,,,,
,,,,,,,,,
,Constructing the Denovo geometry using macro materials,,,,,,,,
,macroMaterial,,,,,,,,
,,mmSubCell=,,integer,,1,,no,rays per dimension to throw at each voxel
,,mmTolerance=,,real,,0.01,,no,smallest volume fraction for macromaterial
,,mmSubCells,,integer,6,,,no,"rays per dimension to throw (x:ny,nz; y:nx,nz; z: nx,ny)"
,,mmPointTest,,,,,,no,use recursive bisection point testing method
,,mmRayTest,,,,,,no,use ray tracing method
,,mmRTSpeed,,,,,,no,optimize ray-tracing method for speed
,,mmRTMemory,,,,,,no,optimize ray-tracing method for memory conservation
,end macroMaterial,,,,,,,,
,,,,,,,,,
,Constructing the mesh version of the true source,,,,,,,,
,subCells=,,,integer,,2,,no,subcells per cell (each dimension)
,sourceTrials=,,,integer,,1000000,,no,how many source particles to sample
,reduce,,,,,not present,,no,store the smallest cuboid around the voxels with source
,,,,,,,,,
,Perform a forward SN calculation and weight the adjoint source,,,,,,,,
,fluxWeighting,,,,,not present,,no,weight adjoint source with forward flux
,respWeighting,,,,,not present,,no,weight adjoint source with integrated forward response
,saveExtraMaps,,,,,not present,,no,save extra 3dmap files associated with forward calculation
,firstCollision,,,,,not present,,no,forces the use a a first collision source
,noFirstCollision,,,,,not present,,no,does not allow the use of a first collision source
,,,,,,,,,
,Use existing forward flux file for weighting the adjoint source,,,,,,,,
,forwardFluxes=,,,string,,not present,,no,"legal file name for current system, in quotes"
,,,,,,,,,
,Use existing adjoint flux file to create importance map,,,,,,,,
,adjointFluxes=,,,string,,not present,,no,"legal file name for current system, in quotes"
,,,,,,,,,
,While using the importance map,,,,,,,,
,windowRatio=,,,real,,5.0,,no,real number greater than one
,mapMultiplier=,,,real,,1.0,,no,multiply targetWeights in imp. Map
end importanceMap,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
