,,,,,,,
,Energy,neutron,response,,Energy,photon,response
,(eV),source,9029,,(eV),source,9504
,2.0000E+07,2.040E-02,1.615E-04,,2.00E+07,1.320E-12,1.162E-05
,6.3763E+06,2.147E-01,1.445E-04,,1.00E+07,7.185E-11,8.745E-06
,3.0119E+06,2.365E-01,1.270E-04,,8.00E+06,3.281E-10,7.460E-06
,1.8268E+06,1.267E-01,1.281E-04,,6.50E+06,1.672E-09,6.351E-06
,1.4227E+06,1.586E-01,1.298E-04,,5.00E+06,4.167E-09,5.400E-06
,9.0718E+05,1.587E-01,1.034E-04,,4.00E+06,8.086E-08,4.602E-06
,4.0762E+05,7.281E-02,5.266E-05,,3.00E+06,7.937E-07,3.952E-06
,1.1109E+05,1.073E-02,1.286E-05,,2.50E+06,1.164E-05,3.459E-06
,1.5034E+04,7.688E-04,3.736E-06,,2.00E+06,3.331E-05,3.013E-06
,3.0354E+03,5.694E-05,3.720E-06,,1.66E+06,8.160E-03,2.620E-06
,5.8295E+02,4.479E-06,4.009E-06,,1.33E+06,3.511E-02,2.194E-06
,1.0130E+02,3.148E-07,4.295E-06,,1.00E+06,2.478E-02,1.827E-06
,2.9023E+01,4.983E-08,4.473E-06,,8.00E+05,4.827E-01,1.515E-06
,1.0677E+01,9.864E-09,4.566E-06,,6.00E+05,4.641E-02,1.160E-06
,3.0590E+00,1.117E-09,4.560E-06,,4.00E+05,9.735E-03,8.705E-07
,1.8554E+00,3.286E-10,4.521E-06,,3.00E+05,1.514E-02,6.219E-07
,1.3000E+00,1.060E-10,4.487E-06,,2.00E+05,5.182E-02,3.708E-07
,1.1253E+00,9.203E-11,4.466E-06,,1.00E+05,7.015E-02,2.688E-07
,1.0000E+00,9.135E-11,4.434E-06,,4.50E+04,2.560E-01,5.933E-07
,8.0000E-01,1.755E-10,4.332E-06,,1.00E+04,,
,4.1399E-01,2.590E-11,4.203E-06,,,,
,3.2500E-01,3.024E-11,4.097E-06,,,,
,2.2500E-01,3.451E-11,3.840E-06,,,,
,1.0000E-01,3.269E-12,3.675E-06,,,,
,5.0000E-02,5.447E-12,3.675E-06,,,,
,3.0000E-02,4.089E-14,3.675E-06,,,,
,1.0000E-02,4.916E-14,3.675E-06,,,,
,1.0000E-05,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
